attachment_object_id,attachment_url,cache_status,classification_reason,common_neutral_fields,disclosure_id,extracted_observations,filename,final_classification,first_north_markers,local_path,main_market_markers,provenance_verification,publication_timestamp,report_month,sha256,sheet_names
9f1737a1471c7c38ec189bd19f414215f1bde4c9f529bb36f5f3ec8413bd0c3f,https://attachment.news.eu.nasdaq.com/ac2f6da42bbc56502e59ff52f805a98f8,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,418482,128,equity trading by company and instrument - first north 1008.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/9f/9f1737a1471c7c38ec189bd19f414215f1bde4c9f529bb36f5f3ec8413bd0c3f.xls,,PASS,2010-09-21 10:55:42,2010-08,8950ff1d8b44c75dbbd5ae7f4592ab1c58065cb47dd41c7856a186c795835ac3,Contents|Company Trading Overview|Instrument Trading Details
f1b744d4358623a5b1b96607d21f4a2808242f9e83083138bd0be0a71fa33803,https://attachment.news.eu.nasdaq.com/addf6a49bb482a28a18bf206cab58afc2,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,420815,129,equity trading by company and instrument - first north 1009.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/f1/f1b744d4358623a5b1b96607d21f4a2808242f9e83083138bd0be0a71fa33803.xls,,PASS,2010-10-08 14:48:39,2010-09,69975bcf445026dee3321b08169367e3957c1f038c81519854d0322973924fe4,Contents|Company Trading Overview|Instrument Trading Details
8974f963812ca63b8b24497b6e304cfd3403f51b8266edb62aab36863e2075ba,https://attachment.news.eu.nasdaq.com/a9f305a52596feb0771097c53dc7d0f73,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,424488,129,equity trading by company and instrument - first north 1010.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/89/8974f963812ca63b8b24497b6e304cfd3403f51b8266edb62aab36863e2075ba.xls,,PASS,2010-11-03 11:17:27,2010-10,fcddce91c9b2634c2fc95458025677ee350b2c9528f69c0d040f3b0634112df1,Contents|Company Trading Overview|Instrument Trading Details
1ee97ec74d19c83082fbbb3c52bf75f739b55ee934d1d2b9ddc2ae207979615d,https://attachment.news.eu.nasdaq.com/a4c6eb9844760e9b19a7f6253b52b9a34,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,429267,132,equity trading by company and instrument - first north 1011.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/1e/1ee97ec74d19c83082fbbb3c52bf75f739b55ee934d1d2b9ddc2ae207979615d.xls,,PASS,2010-12-07 14:34:34,2010-11,3083a33a0aabfc0951f1d5152c4323d06375851312605bfc917c6c0f89509352,Contents|Company Trading Overview|Instrument Trading Details
3926c518c43c7dd6179f34dfe9a50392f53eb6ec49ad2fa0466cc7626cf78e2c,https://attachment.news.eu.nasdaq.com/a68b80f36944398e50a69046b3242533f,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,435523,126,Equity Trading by Company and Instrument - First North 1012.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/39/3926c518c43c7dd6179f34dfe9a50392f53eb6ec49ad2fa0466cc7626cf78e2c.xls,,PASS,2011-01-27 15:39:21,2010-12,41a6a65ae5f2e569322a3845554801bd2b62765a97f0c4f6e583a7c69c7f102a,Contents|Company Trading Overview|Instrument Trading Details
659fdf2c048b3914313283dc045c44807c8bb3089bca67042fb7ee9dc544f3b5,https://attachment.news.eu.nasdaq.com/a8c726ceacab43d50528f25e9a6b99348,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,437663,132,Equity Trading by Company and Instrument - First North 1101.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/65/659fdf2c048b3914313283dc045c44807c8bb3089bca67042fb7ee9dc544f3b5.xls,,PASS,2011-02-09 12:53:09,2011-01,cc3bc7ada467d30128ea2a8242255e6cc3e7e6671d62f2da9a3276e3a642586a,Contents|Company Trading Overview|Instrument Trading Details
6750f172321d97048fb006239938dfe34b7bbacc9e91456dac4d1eaab0e7aeee,https://attachment.news.eu.nasdaq.com/a796893085397d63317b9fde50c35c0ed,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,442380,125,Equity Trading by Company and Instrument - First North 1102.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/67/6750f172321d97048fb006239938dfe34b7bbacc9e91456dac4d1eaab0e7aeee.xls,,PASS,2011-03-09 15:23:01,2011-02,92df5bacd36f3ec200e4f0f4642cefad761475e22c8eca91f549e2aa45e04001,Contents|Company Trading Overview|Instrument Trading Details
c8a91d2f626d55e4af93036f33c28eedf6ba55f161f72603fcc8e35d9fa597fc,https://attachment.news.eu.nasdaq.com/a758bc51be499374dfc91091256310d50,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,447487,124,Equity Trading by Company and Instrument - First North 1103.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/c8/c8a91d2f626d55e4af93036f33c28eedf6ba55f161f72603fcc8e35d9fa597fc.xls,,PASS,2011-04-07 12:14:07,2011-03,14f02d25cfebba4c45590990ff8a840bee1892fee58f6a983159fdd93923c28c,Contents|Company Trading Overview|Instrument Trading Details
00223d10a74aa9a2a81d84f65def58ab290cbc588905dd20d26fe3cca044dedb,https://attachment.news.eu.nasdaq.com/a2471d82769a7db7cdcd1561eff090886,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,453264,127,Equity Trading by Company and Instrument - First North 1104.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/00/00223d10a74aa9a2a81d84f65def58ab290cbc588905dd20d26fe3cca044dedb.xls,,PASS,2011-05-10 16:00:54,2011-04,290890d43c4979be7510f023bb68ee76d2882236508f1668deb82932147e7612,Contents|Company Trading Overview|Instrument Trading Details
bc8d806402dbd421af5482c908a7d8765c8e61dfe5e18ace9e8c4dc693811d9a,https://attachment.news.eu.nasdaq.com/a80988edfdc7cf37bd159392399fc6781,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,457699,129,Equity Trading by Company and Instrument - First North 1105.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/bc/bc8d806402dbd421af5482c908a7d8765c8e61dfe5e18ace9e8c4dc693811d9a.xls,,PASS,2011-06-13 12:45:07,2011-05,ad11e43d71f6c1b04ca303f0a134712ce32a88211e612839ac6115781d1f2c62,Contents|Company Trading Overview|Instrument Trading Details
