ticker,name,sector,market_cap_category
HEXI.ST,Hexicon AB,Industrials,Nano Cap
HEXO.ST,Hexagon Composites ASA,Materials,Mid Cap
HIGHCO-B.ST,High Coast Distillery AB Class B,Consumer Staples,Micro Cap
HILB-B.ST,Hilbert Group AB Class B,Information Technology,Micro Cap
HLDX.ST,Haldex AB (publ),Consumer Discretionary,Small Cap
HM-B.ST,H & M Hennes & Mauritz AB (publ),Consumer Discretionary,Large Cap
HMS.ST,HMS Networks AB (publ),Financials,Micro Cap
HNSA.ST,Hansa Biopharma AB (publ),Health Care,Small Cap
HOFI.ST,Hoist Finance AB,Financials,Small Cap
HOLM-A.ST,Holmen AB (publ),Materials,Mid Cap
HOLM-B.ST,Holmen AB (publ),Materials,Mid Cap
HOVD.ST,Hovding Sverige AB (publ),Consumer Discretionary,Micro Cap
HOYLU.ST,Hoylu AB (publ),Information Technology,Nano Cap
HPOL-B.ST,Hexpol AB Class B,Materials,Mid Cap
HPURO.ST,Hexagon Purus ASA,Industrials,Small Cap
HSHPO.ST,Himalaya Shipping Ltd.,Industrials,Mid Cap
HTRO.ST,HEXATRONIC GROUP AB,Information Technology,Small Cap
HUFV-A.ST,Hufvudstaden AB (publ),Real Estate,Mid Cap
HULT-B.ST,Hultstrom Group AB(publ) Class B,Industrials,Micro Cap
HUM.ST,Humana AB (publ),Health Care,Small Cap
HUMBLE.ST,Humble Group AB,Consumer Staples,Small Cap
HUNTO.ST,Hunter Group ASA,Energy,Small Cap
HUSQ-A.ST,Husqvarna AB Class B,Industrials,Mid Cap
HUSQ-B.ST,Husqvarna AB Class B,Industrials,Mid Cap
HYPROO.ST,HydrogenPro ASA,Industrials,Micro Cap
IAR-B.ST,IAR Systems Group AB (publ),Information Technology,Micro Cap
IBT-B.ST,Infant Bacterial Therapeutics AB (publ),Health Care,Micro Cap
ICA.ST,ICA Gruppen AB (publ),Consumer Staples,Large Cap
ICO.ST,Iconovo AB (publ),Health Care,Micro Cap
IDLDX.ST,IDL Diagnostics AB,Health Care,Nano Cap
IDOGEN.ST,Idogen AB (publ),Health Care,Nano Cap
IDUN-B.ST,Idun Industrier AB (publ),Financials,Small Cap
IMMNOV.ST,Immunovia AB,Health Care,Micro Cap
IMMU.ST,Immunicum AB (publ),Health Care,Micro Cap
IMPC.ST,Impact Coatings AB,Industrials,Micro Cap
INCOAX.ST,InCoax Networks AB (publ),Financials,Micro Cap
INDEX.ST,InDex Pharmaceuticals Holding AB (publ),Health Care,Micro Cap
INDT.ST,Indutrade AB (publ),Industrials,Mid Cap
INDU-A.ST,AB Industrivarden (publ),Financials,Large Cap
INDU-C.ST,AB Industrivarden (publ),Financials,Large Cap
INFREA.ST,Infrea AB,Financials,Micro Cap
INISS-B.ST,Inission AB (publ),Industrials,Micro Cap
INIT.ST,Initiator Pharma A/S,Health Care,Micro Cap
INSP.ST,Insplorion AB (publ),Information Technology,Nano Cap
INSTAL.ST,Instalco AB,Industrials,Small Cap
INTEA-B.ST,Intea Fastigheter AB Class B,Financials,Large Cap
INTEA-D.ST,Intea Fastigheter AB Class D,Financials,Large Cap
INTEG-B.ST,Integrum AB (publ),Health Care,Micro Cap
INTRUM-BTA.ST,Intrum AB TEMP,Industrials,Mid Cap
INTRUM.ST,Intrum AB (publ),Financials,Mid Cap
INVAJO.ST,Invajo Technologies AB (publ),Information Technology,Nano Cap
INVE-A.ST,Investor AB Class A,Financials,Large Cap
INVE-B.ST,Investor AB Class B,Financials,Large Cap
INWI.ST,Inwido AB,Industrials,Small Cap
INZILE.ST,Inzile AB (publ),Consumer Discretionary,Micro Cap
IOXO.ST,InterOil Exploration and Production ASA,Energy,Nano Cap
IPCO.ST,International Petroleum Corp. (British Columbia),Energy,Large Cap
IRIS.ST,Irisity AB (publ),Industrials,Micro Cap
IRLAB-A.ST,IRLAB Therapeutics AB (publ),Health Care,Micro Cap
IRLAB-BTA-A.ST,IRLAB Therapeutics AB TEMP Class A,Health Care,Micro Cap
IRRAS.ST,IRRAS AB (publ),Health Care,Nano Cap
IS.ST,Image Systems AB,Information Technology,Nano Cap
ISOFOL.ST,Isofol Medical AB,Health Care,Micro Cap
ISR.ST,ISR Immune System Regulation Holding AB (publ),Health Care,Nano Cap
ITAB-B.ST,ITAB Shop Concept AB (publ),Industrials,Small Cap
ITAB.ST,ITAB Group AB (publ),Industrials,Mid Cap
ITECH.ST,I-Tech AB,Health Care,Micro Cap
ITERAO.ST,Itera ASA,Industrials,Micro Cap
IVACC.ST,Intervacc AB (publ),Health Care,Small Cap
IVISYS.ST,Ivisys AB (publ),Industrials,Nano Cap
IVSO.ST,INVISIO AB,Information Technology,Small Cap
IZAFE-B.ST,iZafe Group AB (publ),Health Care,Nano Cap
JDT.ST,JonDeTech Sensors AB (publ),Information Technology,Nano Cap
JETPAK.ST,Jetpak Top Holding AB (publ),Industrials,Micro Cap
JINO.ST,Jinhui Shipping & Transportation Ltd.,Industrials,Small Cap
JLT.ST,JLT Mobile Computers AB (publ),Information Technology,Nano Cap
JM.ST,JM AB,Industrials,Mid Cap
JOMA.ST,John Mattson Fastighetsforetagen AB (publ),Real Estate,Small Cap
K2A-B.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate,Small Cap
K2A-PREF.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate,Nano Cap
K33.ST,K33 AB,Information Technology,Micro Cap
KABE-B.ST,KABE Group AB (publ.),Consumer Discretionary,Micro Cap
KAKEL.ST,Kakel Max AB (publ),Materials,Nano Cap
KAMBI.ST,Kambi Group plc Class B,Information Technology,Mid Cap
KAPIAB.ST,Kalleback Property Invest AB (publ),Real Estate,Micro Cap
KAR.ST,Karnov Group AB (publ),Consumer Discretionary,Small Cap
KARNEL-B.ST,Karnell Group AB Class B,Industrials,Mid Cap
KARO.ST,Karo Pharma AB (publ),Health Care,Small Cap
KBC.ST,KB Components AB,Industrials,Mid Cap
KCCO.ST,Klaveness Combination Carriers ASA,Industrials,Mid Cap
KDEV.ST,Karolinska Development AB (publ),Health Care,Micro Cap
KDV-B.ST,KDventures AB Class B,Financials,Micro Cap
KEBNI-B.ST,KebNi AB (publ),Information Technology,Nano Cap
KENH.ST,Kentima Holding AB (publ),Information Technology,Nano Cap
KEOC.ST,Keo Capital AB Class A,Energy,Mid Cap
KFAST-B.ST,K-Fast Holding AB (publ),Real Estate,Micro Cap
KINV-A.ST,Kinnevik AB,Financials,Large Cap
KINV-B.ST,Kinnevik AB,Financials,Large Cap
KITO.ST,Kitron ASA,Information Technology,Large Cap
KJELL.ST,Kjell Group AB,Consumer Discretionary,Small Cap
KLAR.ST,Klaria Pharma Holding AB (publ.),Health Care,Micro Cap
KLARA-B.ST,KlaraBo Sverige AB Class B,Financials,Mid Cap
KLED.ST,Kungsleden AB (publ),Real Estate,Mid Cap
KLIMAT.ST,Klimator AB,Information Technology,Micro Cap
KLOV-A.ST,Klovern AB (publ),Real Estate,Small Cap
KLOV-B.ST,Klovern AB (publ),Real Estate,Small Cap
KLOV-PREF.ST,Klovern AB (publ),Real Estate,Small Cap
KMARO.ST,Kongsberg Maritime ASA,Industrials,Large Cap
KNOW.ST,Knowit AB (publ),Information Technology,Small Cap
KOAO.ST,Kongsberg Automotive ASA,Industrials,Small Cap
KOGO.ST,Kongsberg Gruppen ASA,Industrials,Large Cap
KONT.ST,Kontigo Care AB (publ),Health Care,Nano Cap
KOPY.ST,Kopy Goldfields AB (publ),Materials,Micro Cap
LAGR-B.ST,Lagercrantz Group AB (publ),Information Technology,Mid Cap
LAMM-B.ST,Lammhults Design Group AB (publ),Consumer Discretionary,Nano Cap
LARK.ST,Larkberget AB,Health Care,Nano Cap
LASER.ST,Lasernet Group AB,Information Technology,Small Cap
LATO-B.ST,Investment AB Latour (publ),Financials,Large Cap
LCLEAN.ST,LifeClean International AB (publ),Consumer Staples,Nano Cap
LEA.ST,Lea Bank AB,Financials,Small Cap
LEMSE.ST,Leading Edge Materials Corp.,Industrials,Small Cap
LEO.ST,LeoVegas AB (publ),Communication Services,Small Cap
LEVEL.ST,Nordic LEVEL Group AB Class B,Consumer Discretionary,Micro Cap
LEX.ST,The Lexington Company AB (publ),Consumer Discretionary,Nano Cap
LIAB.ST,Lindab International AB,Industrials,Small Cap
LIDDS.ST,LIDDS AB (publ),Health Care,Nano Cap
LIFCO-B.ST,Lifco AB (publ),Industrials,Small Cap
LIME.ST,Lime Technologies AB,Information Technology,Small Cap
LINC.ST,Linc AB,Financials,Mid Cap
LINKO.ST,LINK Mobility Group Holding ASA,Information Technology,Mid Cap
LIPI.ST,Lipidor AB,Health Care,Nano Cap
LIPUM.ST,Lipum AB (publ),Health Care,Nano Cap
LITI.ST,Litium AB (publ),Information Technology,Nano Cap
LIVI.ST,Liv ihop AB (publ),Industrials,Nano Cap
LMKG.ST,LMK Group AB (publ),Consumer Staples,Micro Cap
LOG.ST,Logistea AB (publ),Real Estate,Nano Cap
LOGI-B.ST,Logistea AB Class B,Consumer Staples,Mid Cap
LOHILO.ST,Lohilo Foods Ab (Publ),Consumer Staples,Micro Cap
LOOMIS.ST,Loomis AB,Industrials,Mid Cap
LOYAL.ST,Loyal Solutions A/S,Information Technology,Nano Cap
LPGO.ST,Lipigon Pharmaceuticals AB,Health Care,Nano Cap
LSGO.ST,Leroy Seafood Group ASA,Consumer Staples,Large Cap
LUC.ST,Lucara Diamond Corp.,Materials,Small Cap
LUG.ST,Lundin Gold Inc.,Materials,Large Cap
LUMEN.ST,LumenRadio AB,Industrials,Small Cap
LUMI.ST,Lundin Mining Corporation,Materials,Large Cap
LUND-B.ST,L E Lundbergforetagen AB (publ),Financials,Large Cap
LUNE.ST,Lundin Energy AB (publ),Energy,Mid Cap
LXB-BTU.ST,Luxbright AB TEMP,Health Care,Nano Cap
LXB.ST,Luxbright AB (publ),Health Care,Nano Cap
LYGRD.ST,Lyckegard Group AB,Industrials,Micro Cap
LYKO-A.ST,Lyko Group AB (publ),Consumer Staples,Small Cap
MACK-B.ST,Mackmyra Svensk Whisky AB (publ),Consumer Staples,Nano Cap
MAG.ST,Magnolia Bostad AB (publ),Real Estate,Micro Cap
MAGI.ST,MAG Interactive AB (publ),Communication Services,Micro Cap
MAGLE.ST,Magle Chemoswed Holding AB (publ),Health Care,Nano Cap
MAHA-A.ST,Maha Energy AB (publ),Energy,Micro Cap
MANG.ST,Mangold Fondkommission AB,Financials,Micro Cap
MANTEX.ST,Mantex AB (publ),Industrials,Nano Cap
MAV.ST,Mavshack AB (publ),Communication Services,Nano Cap
MAVEN.ST,Maven Wireless Sweden AB,Information Technology,Micro Cap
MAXENT-B.ST,Maximum Entertainment AB Class B,Information Technology,Nano Cap
MAXF.ST,MaxFastigheter i Sverige AB (publ),Real Estate,Micro Cap
MCAP.ST,MedCap AB (publ),Financials,Small Cap
MCOV-B.ST,Medicover AB (publ),Health Care,Mid Cap
ME.ST,Modern Ekonomi Sverige Holding AB (publ),Industrials,Nano Cap
MEAB-B.ST,Malmbergs Elektriska AB (publ),Information Technology,Micro Cap
MEDIO.ST,Medistim ASA,Health Care,Mid Cap
MEDS.ST,Meds Apotek AB,Consumer Discretionary,Micro Cap
MEKO.ST,Mekonomen AB (publ),Industrials,Small Cap
MER.ST,Meren Energy Inc.,Energy,Mid Cap
META-BTA.ST,Metacon AB TEMP,Industrials,Micro Cap
META.ST,Metacon AB,Industrials,Micro Cap
MIDS.ST,Midsummer AB,Information Technology,Micro Cap
MIDW-A.ST,Midway Holding AB (publ),Industrials,Micro Cap
MIDW-B.ST,Midway Holding AB (publ),Industrials,Micro Cap
MILDEF.ST,MilDef Group AB,Information Technology,Mid Cap
MINEST.ST,Minesto AB,Utilities,Micro Cap
MIPS.ST,MIPS AB (publ),Consumer Discretionary,Small Cap
MISE.ST,Misen Energy AB (publ),Energy,Nano Cap
MMGR-B.ST,Momentum Group AB (publ),Industrials,Small Cap
MNTC.ST,Mentice AB (publ),Health Care,Micro Cap
MOB.ST,Moberg Pharma AB (publ),Health Care,Nano Cap
MOBA.ST,M.O.B.A. Network AB,Financials,Micro Cap
MODEL.ST,Modelon AB,Industrials,Micro Cap
MODTX.ST,Modus Therapeutics Holding AB,Health Care,Nano Cap
MOMENT.ST,Moment Group AB,Communication Services,Nano Cap
MORROW-BTA.ST,Morrow Bank AB TEMP,Financials,Mid Cap
MORROW.ST,Morrow Bank AB,Financials,Mid Cap
MOWIO.ST,Mowi ASA,Consumer Staples,Large Cap
MPCCO.ST,MPC Container Ships ASA,Industrials,Large Cap
MSAB-B.ST,Micro Systemation AB (publ),Information Technology,Micro Cap
MSON-A.ST,Midsona AB (publ),Consumer Staples,Small Cap
MSON-B.ST,Midsona AB (publ),Consumer Staples,Small Cap
MTG-A.ST,Modern Times Group MTG AB Class A,Information Technology,Large Cap
MTG-B.ST,Modern Times Group MTG AB Class B,Information Technology,Large Cap
MTI.ST,MTI Investment AB,Financials,Nano Cap
MTRS.ST,Munters Group AB (publ),Industrials,Small Cap
MULQ.ST,MultiQ International AB (publ),Information Technology,Nano Cap
MVIR-B.ST,Medivir AB (publ),Health Care,Micro Cap
MVIR.ST,Medivir AB,Health Care,Small Cap
MYCR.ST,Mycronic AB (publ),Information Technology,Mid Cap
MYFC.ST,myFC Holding AB (publ),Industrials,Nano Cap
NANECH.ST,NanoEcho AB,Health Care,Nano Cap
NANEXA.ST,Nanexa AB (publ),Health Care,Nano Cap
NANOC-B.ST,NanoCap Group AB,Financials,Nano Cap
NANOFS.ST,Nanoform Finland Oyj,Health Care,Small Cap
NAPAO.ST,Napatech A/S,Information Technology,Mid Cap
NASO.ST,Norwegian Air Shuttle ASA,Industrials,Large Cap
NAVIGO-PREF.ST,Navigo Invest AB SEK 9.50 Cum Pref Registered Shs,Industrials,Micro Cap
NAVIGO-STAM.ST,Navigo Invest AB,Industrials,Micro Cap
NAXS.ST,NAXS AB (publ),Financials,Micro Cap
NCAB.ST,NCAB Group AB (publ),Information Technology,Small Cap
NCC-A.ST,NCC AB Class A,Industrials,Large Cap
NCC-B.ST,NCC AB (publ),Industrials,Small Cap
NDA-SE.ST,Nordea Bank Abp,Financials,Large Cap
NELLY.ST,Nelly Group AB (publ),Consumer Discretionary,Micro Cap
NELO.ST,NEL ASA,Industrials,Mid Cap
NENT-A.ST,Nordic Entertainment Group AB (publ),Communication Services,Mid Cap
NENT-B.ST,Nordic Entertainment Group AB (publ),Communication Services,Mid Cap
NEO-B.ST,Neovici Holding AB Class B,Information Technology,Micro Cap
NEOBO.ST,Neobo Fastigheter AB,Financials,Mid Cap
NEOLA.ST,Neola Medical AB,Health Care,Nano Cap
NEPA.ST,Nepa AB (publ),Industrials,Micro Cap
NETEL.ST,Netel Holding AB,Industrials,Micro Cap
NETI-B.ST,Net Insight AB (publ),Information Technology,Micro Cap
NETM-B.ST,Netmore Group AB (publ),Communication Services,Nano Cap
NEWA-B.ST,New Wave Group AB (publ),Consumer Discretionary,Small Cap
NEWBRY.ST,Newbury Pharmaceuticals AB,Health Care,Nano Cap
NEWTON.ST,Newton Nordic AB,Information Technology,Nano Cap
NEXAM.ST,Nexam Chemical Holding AB (publ),Materials,Micro Cap
NFGAB.ST,Nordic Flanges Group AB (publ),Industrials,Nano Cap
NGS.ST,NGS Group AB (publ),Industrials,Nano Cap
NHYO.ST,Norsk Hydro ASA,Materials,Large Cap
NIBE-B.ST,NIBE Industrier AB Class B,Industrials,Mid Cap
NICA.ST,Nanologica AB,Health Care,Micro Cap
NICO.ST,Nicoccino Holding AB (publ),Consumer Staples,Nano Cap
NIL-B.ST,Nilorngruppen AB,Consumer Discretionary,Micro Cap
NILAR.ST,Nilar International AB,Information Technology,Micro Cap
NILS.ST,Nilsson Special Vehicles AB (publ),Consumer Discretionary,Nano Cap
NIO.ST,Nordic Iron Ore AB (publ),Materials,Nano Cap
NITRO.ST,Nitro Games Plc,Information Technology,Nano Cap
NIVI-B.ST,Nivika Fastigheter AB Class B,Financials,Mid Cap
NKRO.ST,Nekkar ASA,Industrials,Small Cap
NMAN.ST,Nederman Holding AB (publ),Industrials,Small Cap
NNH.ST,New Nordic Healthbrands AB (publ),Consumer Staples,Micro Cap
NOBA.ST,Noba Bank Group AB,Financials,Large Cap
NOBI.ST,Nobia AB (publ),Consumer Discretionary,Small Cap
NOBINA.ST,Nobina AB (publ),Industrials,Small Cap
NODO.ST,Nordic Semiconductor ASA,Information Technology,Large Cap
NOKIA-SEK.ST,Nokia Oyj,Information Technology,Large Cap
NOLA-B.ST,Nolato AB (publ),Industrials,Micro Cap
NOLO.ST,Northern Ocean Ltd.,Industrials,Mid Cap
NOMO.ST,Nordic Mining ASA,Materials,Small Cap
NORB-B.ST,Nordisk Bergteknik AB Class B,Industrials,Small Cap
NORBTO.ST,Norbit ASA,Industrials,Large Cap
NORDIG.ST,Nord Insuretech Group AB,Information Technology,Nano Cap
NORION.ST,Norion Bank AB,Financials,Large Cap
NORSEO.ST,Norse Atlantic ASA,Industrials,Small Cap
NOSA.ST,Nosa Plugs AB,Information Technology,Micro Cap
NOTE.ST,NOTE AB (publ),Information Technology,Small Cap
NOTEK.ST,Norditek Group AB,Industrials,Micro Cap
NP3-PREF.ST,NP3 Fastigheter AB (publ),Real Estate,Small Cap
NP3.ST,NP3 Fastigheter AB (publ),Real Estate,Small Cap
NPAPER.ST,Nordic Paper Holding AB,Materials,Small Cap
NREST.ST,Nordrest Holding AB,Consumer Discretionary,Mid Cap
NSKOGO.ST,Norske Skog ASA,Materials,Mid Cap
NTECH.ST,Stockholm Nordtech Group AB,Financials,Mid Cap
NTEK-B.ST,Novotek AB,Information Technology,Micro Cap
NXTCL.ST,NextCell Pharma AB,Health Care,Micro Cap
NYAB.ST,NYAB AB,Industrials,Mid Cap
NYF.ST,Nyfosa AB (publ),Real Estate,Mid Cap
NYKDO.ST,Nykode Therapeutics ASA,Health Care,Small Cap
NYOR.ST,Nyorda AB,Industrials,Micro Cap
NYTTO.ST,Svenska Nyttobostader AB (publ),Real Estate,Small Cap
OASM.ST,Oasmia Pharmaceutical AB (publ),Health Care,Micro Cap
OBAB.ST,Online Brands Nordic AB (publ),Consumer Discretionary,Nano Cap
OBSE.ST,Observit AB,Information Technology,Micro Cap
ODD.ST,Odd Molly International AB (publ),Consumer Discretionary,Micro Cap
ODFBO.ST,Odfjell SE Class B,Industrials,Mid Cap
ODFO.ST,Odfjell SE Class A,Industrials,Mid Cap
ODLO.ST,Odfjell Drilling Ltd.,Industrials,Large Cap
OEM-B.ST,OEM International AB (publ),Industrials,Small Cap
OETO.ST,Okeanis Eco Tankers Corp.,Industrials,Large Cap
OFFHUS.ST,Offentliga Hus i Norden AB (publ),Real Estate,Small Cap
OGUN-B.ST,Ogunsen AB Class B,Industrials,Micro Cap
OKEAO.ST,OKEA ASA,Energy,Mid Cap
ONCO.ST,Oncopeptides AB,Health Care,Small Cap
ONCOZ.ST,OncoZenge AB (publ),Health Care,Nano Cap
ONEF.ST,Oneflow AB,Information Technology,Micro Cap
OODA.ST,OODA AI AB (publ),Financials,Micro Cap
OP-PREF.ST,Oscar Properties Holding AB (publ),Industrials,Micro Cap
OP-PREFB.ST,Oscar Properties Holding AB (publ),Industrials,Nano Cap
OP.ST,Oscar Properties Holding AB (publ),Industrials,Micro Cap
OPTER.ST,Opter AB,Information Technology,Micro Cap
OPTI.ST,OptiFreeze AB (publ),Industrials,Micro Cap
ORES.ST,Investment AB Öresund (publ),Financials,Small Cap
ORGC.ST,OrganoClick AB,Materials,Micro Cap
ORKO.ST,Orkla ASA,Consumer Staples,Large Cap
ORRON.ST,Orron Energy AB,Utilities,Mid Cap
ORT-B.ST,Ortoma AB Class B,Health Care,Micro Cap
ORTI-A.ST,Ortivus AB (publ),Health Care,Nano Cap
ORTI-B.ST,Ortivus AB (publ),Health Care,Nano Cap
ORTIN.ST,Ortelius International AB (publ),Consumer Discretionary,Nano Cap
ORX.ST,Orexo AB (publ),Health Care,Micro Cap
OSSD.ST,OssDsign AB,Health Care,Nano Cap
OTLO.ST,Odfjell Technology Ltd.,Industrials,Mid Cap
OVZON.ST,Ovzon AB (publ),Communication Services,Small Cap
OXE.ST,OXE Marine AB (publ),Consumer Discretionary,Micro Cap
PACT.ST,Proact IT Group AB (publ),Information Technology,Micro Cap
PADEL.ST,Acenta Group AB,Information Technology,Nano Cap
PAPI.ST,Papilly AB (publ),Health Care,Nano Cap
PARBO.ST,Pareto Bank ASA,Financials,Mid Cap
PAX.ST,Paxman AB (publ),Health Care,Micro Cap
PCELL.ST,PowerCell Sweden AB,Industrials,Small Cap
PCOM-B.ST,Precomp Solutions AB (publ),Industrials,Nano Cap
PDX.ST,Paradox Interactive AB,Communication Services,Small Cap
PEAB-B.ST,Peab AB (publ),Industrials,Mid Cap
PEGRO-PREF.ST,Pegroco Invest AB (publ),Financials,Small Cap
PENG-B.ST,Projektengagemang Sweden AB (publ),Industrials,Micro Cap
PENO.ST,Panoro Energy ASA,Energy,Mid Cap
PERP-B.ST,Perpetua Medical AB Class B,Information Technology,Nano Cap
PEXIPO.ST,Pexip Holding ASA,Information Technology,Mid Cap
PHARM.ST,Pharmiva AB (publ),Health Care,Nano Cap
PIERCE.ST,Pierce Group AB (publ),Consumer Discretionary,Small Cap
PIEZO.ST,PiezoMotor Uppsala AB (publ),Information Technology,Micro Cap
PILA.ST,PILA PHARMA AB,Health Care,Nano Cap
PION-B.ST,PION Group AB Class B,Industrials,Micro Cap
PLAZ-B.ST,Platzer Fastigheter Holding AB (publ),Real Estate,Small Cap
PLEJD.ST,Plejd AB,Information Technology,Small Cap
PLEX.ST,Plexian AB (publ),Information Technology,Nano Cap
PLSVO.ST,Paratus Energy Services Ltd.,Industrials,Mid Cap
PLUN.ST,ProstaLund AB (publ),Health Care,Nano Cap
PNDX-B.ST,Pandox AB (publ),Consumer Discretionary,Mid Cap
PNORO.ST,PetroNor E&P ASA,Energy,Small Cap
POLY.ST,Polyplank AB (publ),Industrials,Nano Cap
POLYG.ST,Polygiene AB (publ.),Materials,Micro Cap
PRCO-B.ST,Precio Fishbone AB Class B,Information Technology,Micro Cap
PREC.ST,Precise Biometrics AB (publ),Industrials,Micro Cap
PREV-B.ST,Prevas AB,Information Technology,Micro Cap
PRFO.ST,Profoto Holding AB,Consumer Discretionary,Micro Cap
PRIC-B.ST,Pricer AB (publ),Industrials,Small Cap
PRISMA.ST,Prisma Properties AB,Financials,Mid Cap
PRO.ST,Promimic AB,Health Care,Micro Cap
PROF-B.ST,ProfilGruppen AB (publ),Industrials,Micro Cap
PROGEN.ST,Prostatype Genomics AB (publ),Health Care,Nano Cap
PROMO.ST,Promore Pharma AB (publ),Health Care,Nano Cap
PROTO.ST,Protector Forsikring ASA,Financials,Large Cap
PRSO.ST,Prosafe SE,Industrials,Small Cap
PTRK.ST,Physitrack PLC,Health Care,Micro Cap
PUBLI.ST,PPI Public Property Invest AB,Financials,Large Cap
PUBLIO.ST,PPI Public Property Invest AB,Financials,Large Cap
QAIR.ST,QleanAir Holding AB (publ),Industrials,Micro Cap
QBEN.ST,Qben Infra AB,Consumer Discretionary,Small Cap
QBIM.ST,Qbim Aktiebolag,Information Technology,Nano Cap
QCORE.ST,Qlucore AB,Information Technology,Nano Cap
QECO.ST,Questerre Energy Corporation Class A,Energy,Small Cap
QIIWI.ST,Qiiwi Games AB (publ),Communication Services,Nano Cap
QLIFE.ST,Qlife Holding AB (publ),Health Care,Micro Cap
QLINEA.ST,Q-linea AB (publ),Health Care,Small Cap
QLIRO.ST,Qliro AB (publ),Financials,Micro Cap
QSYS.ST,Qualisys Holding AB,Consumer Discretionary,Small Cap
RAIL.ST,Railcare Group AB (publ),Industrials,Micro Cap
RAKE.ST,Raketech Group Holding Plc,Information Technology,Nano Cap
RATO-A.ST,Ratos AB (publ),Financials,Mid Cap
RATO-B.ST,Ratos AB (publ),Financials,Mid Cap
RAY-B.ST,RaySearch Laboratories AB Class B,Health Care,Small Cap
REACHO.ST,Reach Subsea ASA,Energy,Small Cap
READ.ST,Readly International AB (publ),Communication Services,Micro Cap
REALFI.ST,Realfiction Holding AB,Information Technology,Nano Cap
REDW.ST,Redwood Pharma AB,Health Care,Nano Cap
REJL-B.ST,Rejlers AB (publ),Industrials,Small Cap
RENEW.ST,Re:NewCell AB (publ),Consumer Discretionary,Small Cap
RESURS.ST,Resurs Holding AB (publ),Financials,Small Cap
RIZZO-B.ST,Rizzo Group AB (publ),Consumer Discretionary,Nano Cap
RLS.ST,RLS Global AB (publ),Health Care,Nano Cap
RNBS.ST,RNB Retail and Brands AB (publ),Consumer Discretionary,Nano Cap
RO.ST,Rolling Optics Holding AB (publ),Information Technology,Micro Cap
ROKO-B.ST,Roko AB Class B,Financials,Large Cap
RPLAN.ST,Ranplan Group AB,Information Technology,Nano Cap
RROS.ST,Rottneros AB,Materials,Micro Cap
RUG.ST,Rugvista Group AB (publ),Consumer Discretionary,Small Cap
RUSTA.ST,Rusta AB,Consumer Discretionary,Large Cap
RVRC.ST,RVRC Holding AB,Consumer Discretionary,Mid Cap
S2M.ST,S2Medical AB (publ),Health Care,Nano Cap
SAAB-B.ST,Saab AB (publ),Industrials,Mid Cap
SAFETY-B.ST,mySafety Group AB Class B,Information Technology,Micro Cap
SAGA-A.ST,AB Sagax (publ),Real Estate,Mid Cap
SAGA-B.ST,AB Sagax (publ),Real Estate,Mid Cap
SAGA-D.ST,AB Sagax (publ),Real Estate,Mid Cap
SALIX.ST,Salix Group AB,Industrials,Mid Cap
SALMEO.ST,Salmon Evolution ASA,Materials,Mid Cap
SALMO.ST,SalMar ASA,Materials,Large Cap
SALT-B.ST,SaltX Technology Holding AB,Industrials,Nano Cap
SAMPO-SEK.ST,Sampo Oyj,Financials,Large Cap
SAND.ST,Sandvik AB (publ),Industrials,Large Cap
SANION.ST,Saniona AB,Health Care,Small Cap
SAS.ST,SAS AB (publ),Industrials,Small Cap
SATSO.ST,SATS ASA,Consumer Discretionary,Mid Cap
SAVE.ST,Nordnet AB,Financials,Mid Cap
SAXG.ST,Saxlund Group AB,Industrials,Nano Cap
SB1NOO.ST,SPAREBANK 1 SOR-NORGE ASA,Financials,Large Cap
SBB-B.ST,Samhallsbyggnadsbolaget i Norden AB (publ),Real Estate,Mid Cap
SBB-D.ST,Samhallsbyggnadsbolaget i Norden AB (publ),Real Estate,Mid Cap
SBOK-B.ST,ScandBook Holding AB Class B,Consumer Discretionary,Micro Cap
SBOK.ST,ScandBook Holding AB (publ),Industrials,Nano Cap
SCA-A.ST,Svenska Cellulosa AB SCA Class B,Materials,Large Cap
SCA-B.ST,Svenska Cellulosa AB SCA Class B,Materials,Large Cap
SCATCO.ST,Scatec ASA,Utilities,Large Cap
SCIB.ST,SciBase Holding AB,Health Care,Nano Cap
SCOUT.ST,Scout Gaming Group AB (publ),Communication Services,Micro Cap
SCST.ST,Scandi Standard AB (publ),Consumer Staples,Small Cap
SDIP-B.ST,Sdiptech AB (publ),Industrials,Small Cap
SDIP-PREF.ST,Sdiptech AB (publ),Industrials,Small Cap
SDOS.ST,ScandiDos AB (publ),Health Care,Nano Cap
SDS.ST,Seamless Distribution Systems AB (publ),Information Technology,Nano Cap
SEAF.ST,Seafire AB (publ),Financials,Nano Cap
SEB-A.ST,Skandinaviska Enskilda Banken AB Class A,Financials,Large Cap
SEB-C.ST,Skandinaviska Enskilda Banken AB Class A,Financials,Large Cap
SECARE.ST,Swedencare AB (publ),Health Care,Micro Cap
SECI.ST,SECITS Holding AB (publ),Information Technology,Nano Cap
SECS.ST,Sensec Holding AB (publ),Industrials,Nano Cap
SECT-B.ST,Sectra AB (publ),Health Care,Mid Cap
SECU-B.ST,Securitas AB,Industrials,Mid Cap
SEDANA.ST,Sedana Medical AB (publ),Health Care,Micro Cap
