ticker,name,sector,market_cap_category
ATT.ST,Attendo AB (publ),Health Care,Small Cap
ATVEXA-B.ST,Atvexa AB (publ),Consumer Staples,Micro Cap
AUR.ST,Auriant Mining AB (publ),Materials,Micro Cap
AUSSO.ST,Austevoll Seafood ASA,Consumer Staples,Large Cap
AUTOOO.ST,AutoStore Holdings Ltd.,Information Technology,Large Cap
AVARDA.ST,Avarda Bank AB,Financials,Large Cap
AVEN.ST,Avensia AB (publ),Information Technology,Micro Cap
AVT-B.ST,AVTECH Sweden AB (publ),Industrials,Nano Cap
AWRD.ST,Awardit AB (publ),Communication Services,Micro Cap
AXFO.ST,Axfood AB,Consumer Staples,Mid Cap
AXIC-A.ST,aXichem AB,Health Care,Micro Cap
AXOLOT.ST,Axolot Solutions Holding AB (publ),Industrials,Nano Cap
AZA.ST,Avanza Bank Holding AB,Financials,Mid Cap
AZELIO.ST,Azelio AB (publ),Utilities,Small Cap
AZN.ST,AstraZeneca PLC,Health Care,Large Cap
B2IO.ST,B2 Impact ASA,Industrials,Mid Cap
B3.ST,B3 Consulting Group AB (publ),Information Technology,Micro Cap
BACTI-B.ST,Bactiguard Holding AB (publ),Health Care,Small Cap
BAHN-B.ST,Bahnhof AB Class B,Communication Services,Mid Cap
BAKKAO.ST,Bakkafrost P/F,Consumer Staples,Large Cap
BALCO.ST,Balco Group AB,Industrials,Micro Cap
BALD-B.ST,Fastighets AB Balder (publ),Real Estate,Large Cap
BAWAT.ST,Bawat Water Technologies AB,Industrials,Nano Cap
BBROOM.ST,New Bubbleroom Sweden AB,Consumer Discretionary,Micro Cap
BEAMMW-B.ST,BeammWave AB Class B,Industrials,Small Cap
BEGR.ST,BE Group AB (publ),Materials,Micro Cap
BEIA-B.ST,Beijer Alma AB (publ),Industrials,Small Cap
BEIJ-B.ST,Beijer Ref AB (publ),Industrials,Mid Cap
BELE.ST,Beijer Electronics Group AB (publ),Information Technology,Micro Cap
BERG-B.ST,Bergman & Beving AB (publ),Industrials,Small Cap
BERNER-B.ST,Berner Industrier AB Class B,Industrials,Small Cap
BESQ.ST,Besqab AB (publ),Real Estate,Micro Cap
