ticker,name,sector,market_cap_category
XACT-SVERIGE.ST,XACT Sverige (UCITS ETF),Fond,Fond
XACT-OMXS30.ST,XACT OMXS30,Fond,Fond
XACT-NORDEN.ST,XACT Norden,Fond,Fond
XACT-SMABOLAG.ST,XACT Svenska Småbolag,Fond,Fond
XACTHDIV.ST,XACT Nordic High Dividend Low Volatility ETF,Fond,Fond
